"TTD_id" "gene_name"
"T62431" "SYK"
"T97613" "MTNR1A"
"T95913" "PIK3CG"
"T48268" "MTNR1B"
"T76910" "GSK3A"
"T09960" "CCR5"
"T23172" "JAK3"
"T89361" "CDK6"
"T38338" "CACNA1B"
"T00895" "PRKCE"
"T97071" "FOLH1"
"T86591" "PPARA"
"T25464" "PPP3CA"
"T88975" "PDE3A"
"T14558" "TPSAB1"
"T51076" "NTRK3"
"T80896" "ESR2"
"T46360" "SIGMAR1"
"T66505" "SMO"
"T31992" "CA14"
"T56418" "ALK"
"T47623" "HPSE"
"T80782" "FLT1"
"T89529" "PTPN1"
"T08922" "ACACB"
"T21334" "TNFSF11"
"T92777" "MGAM"
"T00494" "ABCA1"
"T17345" "DHFR"
"T45299" "PLAT"
"T03661" "ADA"
"T20178" "TNF"
"T77664" "IFNG"
"T42000" "IL1B"
"T03313" "IL2RA"
"T10191" "CD4"
"T39087" "HIV IN"
"T77195" "MT-ND3"
"T82739" "KLKB1"
"T84173" "GBA"
"T24836" "PROC"
"T40800" "ATP1A1"
"T87024" "APP"
"T23145" "CYP11A1"
"T78585" "IL5"
"T09538" "ALPL"
"T32578" "IL6"
"T99799" "BCHE"
"T21678" "GLA"
"T22939" "PGR"
"T95678" "Influ M"
"T28692" "LPL"
"T62390" "TH"
"T51120" "TPO"
"T52522" "ADRB2"
"T50942" "NGFR"
"T46185" "CHRM2"
"T20709" "CHRM4"
"T72168" "NR3C2"
"T78709" "HTR1A"
"T88240" "Bact folP"
"T22658" "CXCL8"
"T31309" "BCL2"
"T57392" "CYP2D6"
"T28893" "CHRM1"
"T09826" "TOP1"
"T72841" "ESRRA"
"T73215" "MS4A1"
"T89360" "IMPDH2"
"T82146" "RARG"
"T67162" "DRD2"
"T97035" "TYR"
"T81900" "IDE"
"T72515" "IL1R1"
"T51487" "GABRA1"
"T89697" "IDO1"
"T56365" "CD19"
"T75498" "NQO2"
"T94309" "PNLIP"
"T15000" "CTLA4"
"T41201" "DPEP1"
"T12808" "PRKCA"
"T08910" "GABRG2"
"T65197" "EPOR"
"T37539" "CD22"
"T51666" "ATP4A"
"T35640" "ITGAL"
"T76685" "CNR1"
"T22118" "DRD1"
"T76198" "TBXA2R"
"T24983" "DRD4"
"T15569" "MUT"
"T62460" "JAK1"
"T03346" "IL4R"
"T00884" "CXCR1"
"T56923" "CXCR2"
"T47094" "TACR1"
"T87023" "PTAFR"
"T36483" "F2R"
"T14065" "ITGB7"
"T40492" "HCV NS3"
"T05152" "HCV NS5B"
"T07806" "HTR1B"
"T32060" "HTR2A"
"T83813" "HTR2C"
"T10877" "CD38"
"T77365" "ADORA2A"
"T13251" "IL12A"
"T82383" "AXL"
"T75440" "TSPO"
"T32247" "CALCR"
"T26368" "GABRA5"
"T27812" "SLC6A4"
"T07137" "HPD"
"T62292" "GABRA3"
"T77796" "TRHR"
"T45262" "CRHR1"
"T47768" "OPRM1"
"T02551" "DRD3"
"T79232" "AVPR1A"
"T73495" "GRIK1"
"T29130" "STAT3"
"T58992" "OPRD1"
"T60693" "OPRK1"
"T92076" "CASR"
"T31204" "HTR2B"
"T50912" "CD86"
"T99954" "PTGIR"
"T36075" "GLP1R"
"T70967" "CHRNA4"
"T88887" "Stap-coc rpoB"
"T80387" "GABRB2"
"T60182" "GCGR"
"T40954" "XDH"
"T46456" "RXRG"
"T16514" "FASN"
"T09909" "AGTR2"
"T17448" "HNMT"
"T65291" "ALDH3A2"
"T13259" "ALDH5A1"
"T49526" "KCNQ1"
"T76497" "PGD"
"T79798" "MAPK12"
"T53103" "NAGLU"
"T96079" "CXCR4"
"T76059" "FKBP1A"
"T59045" "ABAT"
"T79068" "Bact inhA"
"T12187" "MycB ddl"
"T85733" "TOP2B"
"T62276" "GRIN1"
"T94444" "AOX1"
"T02001" "PDE4D"
"T91480" "ABCC8"
"T20251" "KCNH2"
"T22285" "GRIN2A"
"T76414" "GRIN2B"
"T10147" "PTPRS"
"T59679" "HTR4"
"T39716" "SCN5A"
"T22095" "IL17A"
"T84703" "NTRK2"
"T69619" "AOC3"
"T40696" "Stap-coc parC"
"T73676" "SV2A"
"T62206" "PCSK9"
"T51426" "NR1H4"
"T98913" "CSF3R"
"T11843" "VKORC1"
"T56556" "ABCG2"
"T02318" "TNFSF13B"
"T48945" "TERT"
"T57011" "ICAM1"
"T92494" "EEF2K"
"T15023" "NRP1"
"T64795" "CACNA1G"
"T69485" "HCRTR2"
"T84040" "TRPA1"
"T69563" "IDH1"
"T16688" "DGAT1"
"T54644" "CACNA1H"
"T31751" "Malaria DXR"
"T76213" "PAH"
"T14602" "F8"
"T38179" "Stap-coc blaZ"
"T27445" "Bact ileS"
"T73476" "SERPINC1"
"T28265" "SERPINA1"
"T94692" "LDLR"
"T97257" "TGFB1"
"T63934" "IFNA2"
"T02808" "IFNB1"
"T63068" "ALB"
"T14342" "HIV RT"
"T86674" "Influ HA"
"T74002" "CSF2"
"T26203" "ICAM1"
"T60433" "CD1A"
"T87075" "CD3E"
"T88452" "SERPINA6"
"T44068" "ADRB1"
"T28076" "FGF4"
"T11448" "ADRA2A"
"T31621" "FGF2"
"T19615" "CSF3"
"T24634" "Bact murA"
"T61657" "RARB"
"T79591" "THRA"
"T98933" "THRB"
"T02333" "GHR"
"T06455" "CYP2A6"
"T37510" "F5"
"T22212" "FCGR2A"
"T55654" "CFTR"
"T20514" "ALAD"
"T86528" "FDPS"
"T83386" "FOLR1"
"T73097" "CSF2RA"
"T20761" "VEGFA"
"T60606" "TSHR"
"T41580" "ADRA2B"
"T01777" "ADRA2C"
"T13726" "RXRA"
"T38950" "CD33"
"T40111" "IMPDH1"
"T46828" "DRD5"
"T28993" "IDS"
"T17569" "KCNA5"
"T42822" "FECH"
"T79473" "LHCGR"
"T25847" "PPIB"
"T50269" "GLRA1"
"T21945" "SLC6A2"
"T92828" "EDNRB"
"T30985" "HRH2"
"T97947" "GUCY2C"
"T23499" "EDNRA"
"T30372" "Trypano CYSP"
"T71377" "IL3RA"
"T11072" "HTR1D"
"T86679" "ADORA2B"
"T95385" "IL12B"
"T23714" "BDKRB2"
"T66237" "AVPR2"
"T62184" "SLC6A1"
"T16633" "SSTR1"
"T53024" "SSTR2"
"T12475" "GNRHR"
"T71390" "SRD5A2"
"T25163" "CPS1"
"T13644" "SSTR3"
"T58238" "CD80"
"T23292" "GALNS"
"T64830" "SSTR5"
"T92609" "ADRA1A"
"T66665" "PTGS2"
"T34429" "CHRNA7"
"T30284" "IFNGR2"
"T99616" "Trypano TPR"
"T16156" "MPL"
"T33584" "GRIA1"
"T42392" "GRIA2"
"T75797" "PTGFR"
"T38529" "PTGER2"
"T64591" "HTR3A"
"T59881" "AVPR1B"
"T17163" "LEPR"
"T06421" "IFNAR2"
"T70792" "PGF"
"T30040" "VEGFB"
"T06955" "CCR4"
"T37046" "BLVRA"
"T84316" "CACNA2D1"
"T61698" "IL2"
"T59845" "PPP1CA"
"T47081" "PPIA"
"T49493" "HBA2"
"T55959" "SLC6A3"
"T61400" "DHODH"
"T67710" "PTH1R"
"T55689" "LIPE"
"T48873" "SLC18A2"
"T97713" "PPAT"
"T63609" "ADCY1"
"T51115" "CACNA1C"
"T59631" "PDCD1"
"T55815" "CHRNA2"
"T14908" "UGCG"
"T84581" "TXNRD1"
"T64410" "Bact vanYB"
"T78277" "ASRGL1"
"T83193" "TRPV1"
"T75888" "CPT1B"
"T59604" "GHSR"
"T46937" "P2RY12"
"T06841" "IL23A"
"T46482" "TLR7"
"T99948" "CD274"
"T33901" "NPC1L1"
"T22839" "CELA1"
"T71192" "CYSLTR1"
"T43739" "SCN10A"
"T09507" "APOB"
"T34949" "CACNA1A"
"T27376" "GABRD"
"T56262" "TPP1"
"T02777" "ABCC9"
"T34843" "GLP2R"
"T33425" "EGF"
"T18950" "GNRH1"
"T98708" "PTH"
"T82841" "INS"
"T56518" "HBV RT"
"T83611" "HLA-DRB1"
"T73712" "FABP1"
"T96413" "GUSB"
"T66040" "Bact mrdA"
"T33193" "Bact mrcA"
"T39610" "CALM"
"T73726" "Candi ERG11"
"T85529" "CD28"
"T19244" "CYP2C9"
"T27999" "Bact pagA"
"T97621" "CFTR"
"T02119" "ARSB"
"T28869" "Bact ureC"
"T97174" "M6PR"
"T53381" "ADRA1D"
"T60077" "RXRB"
"T77009" "PRDX5"
"T84486" "OXTR"
"T78656" "HTR1F"
"T34287" "Candi PMI1"
"T82795" "CTNNB1"
"T29500" "ADRA1B"
"T88182" "GGCX"
"T24373" "LIPA"
"T73189" "Fung GSC2"
"T51452" "GABRA2"
"T15571" "HTR5A"
"T59720" "FHIT"
"T34318" "CAMP"
"T66350" "RAB9A"
"T50066" "CLCN2"
"T84886" "SLC12A3"
"T46628" "MTTP"
"T71023" "SNAP25"
"T95479" "SST"
"T12966" "TNNC1"
"T09423" "KCNJ10"
"T30578" "MycB embC"
"T68253" "MycB ddl"
"T70449" "GHRHR"
"T75890" "DPYD"
"T93878" "SLC12A1"
"T47610" "IL11RA"
"T69506" "NR1I3"
"T41955" "TRPM8"
"T70680" "SLC22A8"
"T88185" "HCAR2"
"T93788" "GPR119"
"T53748" "Malaria fabI"
"T95558" "DGAT2"
"T99524" "TAAR1"
"T86057" "SLC22A12"
"T96215" "Malaria gdh"
"T76937" "SCN3A"
"T96845" "IL37"
"T98917" "MRM2"
"T74500" "KCND3"
"T23389" "TTR"
"T65414" "HIV env mRNA"
"T79249" "TYMS"
"T72171" "CCR5"
"T67282" "Stap-coc leuS"
"T72657" "Stap-coc pbp2"
"T31230" "Bact frdA"
"T04689" "CHRNA1"
"T86462" "TTR"
"T32369" "Influ PA"
"T37847" "HSV UL30"
"T93783" "HIV tat"
"T24211" "SERPING1"
"T65570" "ADH1A"
"T79961" "CHRM5"
"T46904" "SCT"
"T71690" "Bact aceE"
"T68461" "SLC25A4"
"T71230" "NPR1"
"T94429" "CMV TRM1"
"T14541" "CD toxB"
"T75273" "Stap-coc gyrA"
"T51146" "FUT4"
"T73342" "RIR"
"T40555" "HCV NS5A"
"T84117" "HTR1E"
"T88023" "TNFRSF8"
"T95400" "FCER1G"
"T76630" "CD52"
"T30085" "SLC5A2"
"T21890" "CEACAM3"
"T62391" "GRIA3"
"T63967" "CHRNA4-CHRNB2"
"T96235" "GRIA4"
"T16792" "DIO1"
"T34239" "PPOX"
"T55094" "ASIC1"
"T14582" "MycB alr"
"T90828" "IL5RA"
"T08898" "MC2R"
"T19693" "GUCY2D"
"T07289" "ACKR1"
"T93955" "Asperg mpdA"
"T71501" "HBV P"
"T09005" "Cory mTOX"
"T38052" "Crypto CpPNO"
"T65236" "GPER1"
"T13491" "SLC29A1"
"T28722" "GABRG3"
"T14853" "FGF23"
"T98052" "SLAMF7"
"T34123" "SCN11A"
"T87670" "GPR55"
"T33765" "MCL1"
"T84972" "Stre-coc fusA"
"T07485" "RSV F"
"T38161" "ANXA1"
"T06770" "HIV gp41"
"T91442" "VZV ORF28"
"T42354" "Bact sigA"
"T38284" "BCR-ABL1"
"T30956" "Anthrax PA"
"T07403" "ITGA4-ITGB7"
"T59122" "CD58"
"T03896" "HCV NS3/4A"
"T16761" "PC DHPS"
"T74166" "CHRNA3-CHRNB4"
"T14121" "Viru p37"
"T23666" "AHR"
"T35465" "SLC19A1"
"T74363" "PLAUR"
"T28661" "TUBB2A"
"T92078" "DPYSL2"
"T16047" "Onchoc GluCl"
"T08735" "Asperg M2DH"
"T05089" "ANO1"
"T96914" "Malaria gyrase"
"T78173" "Candi ERG1"
"T08378" "SLC23A2"
"T54055" "LYVE1"
"T07035" "CMV IE2 mRNA"
"T52771" "MycB Prop"
"T63598" "Pedhc nAChR"
"T60708" "C5"
"T07569" "CYC1-MT-CYB"
"T27495" "VARV p37"
"T23459" "EBV BLLF1"
"T51282" "ROCK1"
"T36053" "SLCO4C1"
"T39676" "SLC47A1"
"T19229" "SLC46A1"
"T63140" "Bact lmrP"
"T37382" "SLC23A1"
"T62905" "SLC5A6"
"T63966" "FLT1"
"T91331" "FGFR3"
"T67619" "AKT1"
"T31514" "GAA"
"T07303" "FLT4"
"T71266" "AKT3"
"T21960" "ANGPT2"
"T06093" "ROCK2"
"T29143" "IL13"
"T25265" "EZH2"
"T53904" "EGLN2"
"T64765" "HRH3"
"T29024" "SOD1"
"T30687" "NR3C1"
"T86652" "PCSK9"
"T26851" "C3"
"T23348" "VWF"
"T20333" "CSF1R"
"T98157" "ARSA"
"T10965" "SELP"
"T15439" "C5AR1"
"T29683" "TACR3"
"T78932" "TYK2"
"T41750" "GIPR"
"T92403" "SLC9A3"
"T35842" "MC1R"
"T88505" "NFE2L2"
"T32262" "CALCRL"
"T86115" "APOC3"
"T81100" "SLC5A2"
"T72702" "F3"
"T17234" "CMV UL97"
"T08306" "CD79B"
"T85857" "TSLP"
"T06542" "IL17F"
"T60724" "SOST"
"T46128" "PMEL"
"T24982" "SLC10A2"
"T99189" "SLC10A1"
"T71907" "SMN1"
"T35591" "NECTIN4"
"T21123" "EPAS1"
"T10988" "IL1RL2"
"T53139" "ANGPTL3"
"T23343" "HIV p24"
"T00972" "HIV gp120"
"T94718" "LAG3"
"T66693" "TNFRSF17"
"T16538" "EGFR"
"T66011" "CFB"
"T52189" "ACLY"
"T72545" "Bact parC"
"T06020" "FCGRT"
"T99989" "CSNK1E"
"T05876" "EV GP"
"T17629" "TACSTD2"
"T20563" "EGFR"
"T23519" "GPRC5D"
"T32790" "LDHA"
"T59480" "KRAS"
"T86041" "ALAS1"
"T63155" "PKLR"
"T63156" "MAN2B1"
"T63158" "SMPD1"
"T25258" "ABCB1"
"T22274" "HDAC6"
"T86052" "TERT"
"T37848" "CYP3A4"
"T54156" "MMP9"
"T08856" "MMP8"
"T34296" "MMP13"
"T70977" "GSK3B"
"T82393" "ADAM17"
"T35940" "MAP2K1"
"T64567" "CA9"
"T51191" "HDAC2"
"T02562" "PTGES"
"T62449" "CHEK1"
"T78429" "IKBKB"
"T87675" "AURKA"
"T78198" "PNP"
"T23471" "MPO"
"T49898" "CDK1"
"T67102" "CTSD"
"T75570" "YES1"
"T40332" "ELANE"
"T86385" "CTSG"
"T43115" "PTPRC"
"T36059" "ADORA3"
"T94085" "RARA"
"T44011" "HSD17B1"
"T19160" "PLA2G2A"
"T67272" "ANPEP"
"T52389" "NQO1"
"T24587" "MGMT"
"T10735" "HDC"
"T01908" "KLK2"
"T65116" "NT5E"
"T94479" "RPS6KB1"
"T05114" "CMA1"
"T11487" "ACAT1"
"T70176" "CDK2"
"T90553" "MARK3"
"T58970" "MAPK1"
"T65200" "HSD11B1"
"T06046" "NOS3"
"T16117" "NOS1"
"T69991" "WEE1"
"T28330" "CCKAR"
"T02703" "NOS2"
"T87166" "GCK"
"T55709" "CHKA"
"T89055" "MAP2K2"
"T53389" "TGFBR1"
"T03500" "MMP12"
"T11388" "CTSK"
"T40097" "MAPK8"
"T86161" "PREP"
"T65019" "MMP14"
"T44458" "CDK9"
"T40694" "PLK1"
"T49507" "EPHB4"
"T91661" "ADK"
"T63816" "HDAC4"
"T51565" "CSNK2A1"
"T19760" "MAP3K9"
"T00176" "MDM2"
"T92144" "TEK"
"T23995" "PRKCQ"
"T44861" "PRKCD"
"T10265" "PDE4B"
"T69912" "PLA2G7"
"T55729" "MAPK11"
"T12119" "SCN9A"
"T65864" "MAPK14"
"T14731" "SIRT1"
"T46781" "AURKB"
"T98896" "ADAMTS5"
"T97592" "AURKC"
"T96788" "ERBB2"
"T90648" "BRAF"
"T77764" "AURKB"
"T64682" "SGK1"
"T81443" "TLR4"
"T77645" "TNFRSF10A"
"T77400" "PDE2A"
"T31902" "ADAM10"
"T70067" "TNFRSF10B"
"T25608" "FFAR1"
"T02677" "BIRC5"
"T67894" "TLR3"
"T54132" "KCNQ3"
"T16739" "KDM1A"
"T17852" "PDE9A"
"T01575" "SGPL1"
"T28713" "CHEK2"
"T22977" "SOD1"
"T91696" "FN1"
"T39321" "GAPDH"
"T15739" "TP53"
"T44282" "ALDH2"
"T15556" "SERPINE1"
"T01851" "ITGB1"
"T40276" "PRKCB"
"T67103" "ITGAV"
"T93509" "CALCA"
"T36935" "KLK3"
"T41141" "CTSL"
"T68163" "LYN"
"T05409" "MME"
"T29879" "ITGA5"
"T21669" "GSTP1"
"T25703" "HMOX1"
"T77594" "HSPA5"
"T50594" "PIM1"
"T15334" "CETP"
"T11309" "CCL2"
"T39977" "MIF"
"T83797" "HGF"
"T19579" "IL2RB"
"T72335" "Bact lef"
"T00938" "TYRP1"
"T04902" "CAPN2"
"T82543" "CHRNB2"
"T16347" "PTPN1"
"T82028" "SLC9A1"
"T96627" "CXCL2"
"T86350" "ERBB3"
"T15882" "PRTN3"
"T78356" "TBXAS1"
"T68290" "CTSS"
"T45758" "CD40"
"T88304" "DNMT1"
"T23347" "IL1R2"
"T35194" "DUSP1"
"T73756" "EPHB2"
"T98269" "CASP1"
"T46365" "CDC25B"
"T28226" "GCH1"
"T73724" "CHRNB4"
"T86364" "VIPR1"
"T16016" "CCR1"
"T35734" "EPHX2"
"T18876" "PTGER4"
"T02546" "SCN4A"
"T40785" "Fung FKS1"
"T32240" "IL15"
"T52921" "OPRL1"
"T93515" "P2RY2"
"T99347" "GRM5"
"T89988" "CCR2"
"T05031" "PIK3CB"
"T57943" "CASP3"
"T96760" "GDF5"
"T85467" "PTGER3"
"T54582" "NAMPT"
"T78692" "KCNJ5"
"T93105" "PSEN1"
"T16691" "HTR6"
"T75596" "METAP2"
"T58449" "CDK7"
"T28484" "KIF11"
"T70490" "CTSC"
"T12646" "VCP"
"T15610" "NPEPPS"
"T14143" "TGFB2"
"T81735" "PRKDC"
"T43721" "HSD11B2"
"T36557" "PPARD"
"T88285" "GLO1"
"T01973" "MST1R"
"T15068" "PTK2"
"T13057" "PTPN11"
"T31956" "ENPEP"
"T56510" "BCL2L1"
"T14912" "MCL1"
"T55781" "MERTK"
"T53764" "FAP"
"T97196" "ATM"
"T16308" "PIN1"
"T06671" "IL18"
"T62820" "GRM2"
"T02719" "GRM3"
"T44141" "ANGPT1"
"T92521" "CYP1B1"
"T87686" "DOT1L"
"T92640" "LPAR1"
"T46871" "INPP5D"
"T03755" "BCL2L2"
"T98022" "CPB2"
"T27889" "ACE2"
"T26500" "HRH4"
"T30563" "LTB4R2"
"T86014" "SPHK1"
"T07279" "PIM2"
"T65501" "DNMT3B"
"T84133" "PDE10A"
"T61722" "PTGDR2"
"T92463" "RIPK2"
"T10482" "F12"
"T15803" "F11"
"T46521" "AR"
"T41515" "FGFR4"
"T37952" "SYK"
"T87875" "GCGR"
"T81892" "XIAP"
"T81358" "CDC7"
"T87749" "MSTN"
"T51407" "XPO1"
"T05090" "HDAC3"
"T20891" "PDPK1"
"T84634" "CYP26A1"
"T62306" "MLNR"
"T73482" "HCRTR1"
"T82078" "TLR2"
"T40556" "BRD4"
"T56697" "DKK1"
"T23797" "IL33"
"T29339" "DDX58"
"T98293" "PAK4"
"T66383" "CFD"
"T35486" "NRAS"
"T85670" "NGF"
"T16128" "GAST"
"T85158" "LTA"
"T16340" "IL1A"
"T56545" "APOA1"
"T37742" "APCS"
"T30635" "CXCL10"
"T67801" "LTF"
"T89873" "FTH1"
"T01597" "CAT"
"T23673" "RAF1"
"T89147" "SOD2"
"T05661" "LCAT"
"T18639" "FGF1"
"T38431" "S100A9"
"T16601" "CEACAM5"
"T67207" "FCER2"
"T49064" "LIPF"
"T67416" "EPRS"
"T47466" "HMBS"
"T52671" "LPA"
"T94094" "CMV UL54"
"T74937" "DBH"
"T33990" "CSF1"
"T37154" "CTSA"
"T11283" "HSPD1"
"T17048" "TOP2A"
"T12909" "DMD"
"T35232" "IL7"
"T54771" "SLC5A1"
"T60526" "SELL"
"T81311" "HSP90B1"
"T33124" "DAO"
"T67079" "IL9"
"T70518" "CBR1"
"T72835" "SELE"
"T15377" "ATP2A2"
"T85025" "IL7R"
"T55293" "ITGA2"
"T78915" "TPH1"
"T70101" "CTPS1"
"T70309" "SRD5A1"
"T13017" "SDC1"
"T59056" "CYP11B2"
"T86552" "TNFRSF1A"
"T29960" "WT1"
"T39677" "CEL"
"T56308" "IL11"
"T52790" "TACR2"
"T76914" "KCNA3"
"T89918" "GART"
"T09092" "IL10"
"T90989" "FGFR4"
"T55860" "TNFSF4"
"T12355" "CCND1"
"T86399" "BRD2"
"T14592" "FAS"
"T89213" "NPY1R"
"T83192" "CNTF"
"T61033" "CNTFR"
"T23276" "MAPK3"
"T13348" "APEX1"
"T57278" "EPHA2"
"T28413" "EPHA3"
"T14755" "CD40LG"
"T99816" "GRPR"
"T02728" "NTSR1"
"T97008" "MAT2A"
"T62974" "SSTR4"
"T79027" "CDA"
"T74977" "TTK"
"T79062" "HTR7"
"T35040" "BSG"
"T55260" "PPM1A"
"T50699" "LTBR"
"T36959" "ACVRL1"
"T49989" "TGFBR2"
"T03644" "SNCA"
"T06182" "VIPR2"
"T42854" "MAGEA1"
"T92124" "TNFRSF4"
"T71928" "KIR2DL1"
"T54902" "KIR2DL2"
"T53472" "KIR2DL3"
"T58589" "BDKRB1"
"T72120" "UTRN"
"T14834" "PLA2G4A"
"T70201" "GLIPR1"
"T69685" "SLC6A9"
"T21307" "MAPKAPK2"
"T10670" "NPY2R"
"T99204" "PSEN2"
"T27944" "NPY4R"
"T46084" "TNFSF10"
"T97873" "CCR9"
"T64645" "SGSH"
"T96685" "HK2"
"T35063" "GEM"
"T13714" "NR1H2"
"T93903" "CASP9"
"T17140" "P2RX3"
"T79031" "BACE1"
"T40491" "PPP2CA"
"T02228" "Stre-coc parC"
"T04507" "DLG4"
"T36806" "ARG2"
"T22995" "HAMP"
"T16769" "XIAP"
"T24793" "CACNA1D"
"T91435" "ROR2"
"T61581" "GUCY1B1"
"T22128" "GAD2"
"T92458" "CYP24A1"
"T91761" "ITK"
"T06031" "MAP3K1"
"T68782" "PTGDR"
"T11011" "CRHR2"
"T22655" "MADCAM1"
"T35173" "BIRC3"
"T84780" "BIRC2"
"T97155" "ATR"
"T73694" "PTK6"
"T40459" "IL13RA2"
"T42048" "BRD3"
"T90782" "P2RY6"
"T07400" "AGER"
"T25317" "EBP"
"T59626" "LTB4R"
"T97141" "MYLK"
"T46245" "QPCT"
"T32972" "CYP51A1"
"T90985" "BRDT"
"T78381" "IFNL1"
"T58496" "TRPV3"
"T86273" "GPBAR1"
"T03634" "CREBBP"
"T64074" "DCPS"
"T05643" "LINGO1"
"T76093" "HBEGF"
"T32973" "LGMN"
"T63414" "P2RX7"
"T97589" "MAP3K5"
"T18664" "MGLL"
"T09572" "MCHR1"
"T97136" "MKNK1"
"T44682" "IL22"
"T36467" "AICDA"
"T08133" "TRPV6"
"T64213" "TRPV4"
"T51223" "IL21"
"T99160" "MKNK2"
"T86264" "SLC40A1"
"T28717" "TNFRSF12A"
"T91451" "UBE2T"
"T11451" "TLR9"
"T48703" "TLR8"
"T31989" "SPHK2"
"T42928" "FGF21"
"T55398" "IRAK4"
"T22583" "SLC5A4"
"T94482" "IL20"
"T91286" "STEAP1"
"T49072" "UTS2R"
"T42065" "GNE"
"T76508" "MAP3K2"
"T33641" "CYP46A1"
"T41560" "EGFR"
"T85651" "MYC"
"T52953" "CRP"
"T87939" "KLKB1"
"T52316" "RAF1"
"T82051" "TP53"
"T24555" "ADRB2"
"T38810" "LPA"
"T90391" "CYP3A4"
"T99740" "MYB"
"T88430" "ARAF"
"T47387" "BCL2"
"T95899" "CLU"
"T88847" "DMD"
"T78892" "ITGA4"
"T88714" "ADORA1"
"T63986" "KIF11"
"T59273" "PLK1"
"T44771" "TGFB2"
"T30926" "GRB2"
"T00238" "NFKB2"
"T51748" "HIF1A"
"T37245" "DDIT4"
"T07448" "MASP2"
"T52937" "AGRP"
"T76285" "ENPP3"
"T82665" "PRMT5"
"T79157" "EREG"
"T94695" "SMAD7"
"T36741" "MDM4"
"T19567" "MGEA5"
"T43718" "TLR5"
"T39797" "FZD7"
"T88569" "IDH1"
"T14676" "TNFSF13"
"T99732" "FGF18"
"T64969" "EGFR"
"T48598" "KRAS"
"T87350" "PDGFB"
"T00033" "TGFA"
"T10092" "FSHB"
"T19784" "GH1"
"T44919" "GCG"
"T35303" "PPY"
"T07958" "EPO"
"T47415" "HLA-B"
"T00419" "TNNC2"
"T21689" "APOE"
"T31518" "APOC3"
"T54761" "MBP"
"T10828" "AFP"
"T02617" "TF"
"T53811" "HPV E6"
"T83793" "HIV nef"
"T46040" "F11"
"T91894" "MAS1"
"T86918" "AMY2A"
"T96476" "Malaria MSP-1"
"T66120" "Bact kdsB"
"T11005" "IFNW1"
"T00239" "IL4"
"T44862" "HCV UL83"
"T67363" "ITGAV-ITGB3"
"T15167" "COL1A2"
"T78114" "CD55"
"T46263" "SLC3A2"
"T96623" "HSP90AB1"
"T23212" "CD14"
"T88806" "ITGA5-ITGB1"
"T72195" "ANXA5"
"T41820" "Fung ILS1"
"T04321" "Stap-coc hly"
"T06575" "CGB3"
"T24127" "PYY"
"T97765" "CCL3"
"T85616" "TXN"
"T22978" "TGFB3"
"T45593" "MAPT"
"T78890" "TFPI"
"T59550" "IGF2R"
"T68383" "BMP2"
"T07507" "MYH7"
"T16263" "CCL5"
"T86130" "ITGA4-ITGB1"
"T61729" "P4HA1"
"T65889" "PKM"
