"","TargetID","DrugID","Highest_status","MOA","Gene_name"
"33","T25005","DXP04H","Approved","Inhibitor","BTK"
"34","T23389","DXRP68","Approved","Inhibitor","TTR"
"35","T24982","DZB84T","Approved","Inhibitor","SLC10A2"
"36","T73726","DM8BN1","Approved","Inhibitor","Candi ERG11"
"37","T20761","D9MWL4","Approved",".","VEGFA"
"38","T21960","D9MWL4","Approved",".","ANGPT2"
"39","T40474","DQ5X1Z","Approved","Inhibitor","MET"
"40","T59328","DQ5X1Z","Approved","Inhibitor","EGFR"
"41","T30085","D0U7IL","Approved","Modulator","SLC5A2"
"42","T74456","D0YS1U","Approved","Antagonist","AGTR1"
"43","T23499","D0YS1U","Approved","Antagonist","EDNRA"
"44","T73215","DB4M9J","Approved","Inhibitor","MS4A1"
"45","T73215","D2HDB8","Approved","Inhibitor","MS4A1"
"46","T74312","D0PN8H","Approved","Modulator","FLT3"
"47","T23172","D0PN8H","Approved","Modulator","JAK3"
"48","T29024","D0I1CQ","Approved","Inhibitor","SOD1"
"49","T46128","D0S0BJ","Approved","Modulator","PMEL"
"50","T29143","D0I1ZY","Approved","Inhibitor","IL13"
"51","T97071","DGQW52","Approved",".","FOLH1"
"52","T21123","D0NU8J","Approved","Inhibitor","EPAS1"
"53","T32262","D0IA9Y","Approved","Inhibitor","CALCRL"
"54","T32262","D02ZUG","Approved","Antagonist","CALCRL"
"55","T36075","DA69JF","Approved","Agonist","GLP1R"
"56","T41750","DA69JF","Approved","Agonist","GIPR"
"57","T06421","D0FU8R","Approved","Antagonist","IFNAR2"
"58","T30284","D0FU8R","Approved","Antagonist","IFNGR2"
"64","T73725","D06MBI","Patented","Inhibitor","CLK2"
"65","T46685","D06MBI","Patented","Inhibitor","CLK1"
"83","T83875","D00OWF","Patented","Inhibitor","MAOA"
"107","T49898","D00PWQ","Patented","Inhibitor","CDK1"
"108","T70977","D00PWQ","Patented","Inhibitor","GSK3B"
"109","T04820","D00PWQ","Patented","Inhibitor","Malaria Pfmrk"
"110","T98459","D00PWQ","Patented","Inhibitor","CCNB1"
"111","T20973","D00PWQ","Patented","Inhibitor","CDK5"
"113","T59045","D00BRD","Patented","Inhibitor","ABAT"
"114","T59045","D0B5YS","Patented","Inhibitor","ABAT"
"115","T13259","D0B5YS","Patented","Inhibitor","ALDH5A1"
"116","T16987","D03SLR","Patented","Inhibitor","CA12"
"117","T20401","D03SLR","Patented","Inhibitor","CA2"
"118","T31992","D03SLR","Patented","Inhibitor","CA14"
"119","T64567","D03SLR","Patented","Inhibitor","CA9"
"120","T06569","D03SLR","Patented","Inhibitor","CA6"
"121","T13201","D03SLR","Patented","Inhibitor","CA1"
"122","T53378","D03SLR","Patented","Inhibitor","CA4"
"127","T46521","D0O4QB","Patented","Inhibitor","AR"
"128","T14731","D04JZE","Patented","Inhibitor","SIRT1"
"146","T75797","D0W2OT","Patented","Antagonist","PTGFR"
"147","T15497","D0W2OT","Patented","Antagonist","PTGER1"
"148","T18876","D0W2OT","Patented","Antagonist","PTGER4"
"149","T85467","D0W2OT","Patented","Antagonist","PTGER3"
"150","T38529","D0W2OT","Patented","Antagonist","PTGER2"
"151","T92803","D03TFJ","Patented","Inhibitor","DYRK1A"
"152","T58921","D0H5FI","Patented","Agonist","PPARG"
"153","T58921","D0PO7F","Patented","Agonist","PPARG"
"154","T83011","D03SLR","Patented","Inhibitor","MAOB"
"155","T76910","D00PWQ","Patented","Inhibitor","GSK3A"
"156","T16688","D02NRD","Patented","Inhibitor","DGAT1"
"157","T83011","D00BRD","Patented","Inhibitor","MAOB"
"158","T83011","D0B5YS","Patented","Inhibitor","MAOB"
"159","T83011","D0O4QB","Patented","Inhibitor","MAOB"
"160","T39486","D00OWF","Patented","Inhibitor","DYRK2"
"161","T92803","D06MBI","Patented","Inhibitor","DYRK1A"
"162","T92803","D00OWF","Patented","Inhibitor","DYRK1A"
"163","T97149","D00OWF","Patented","Inhibitor","DYRK3"
"165","T47888","D0K4BI","Patented","Inhibitor","S1PR2"
"166","T98264","D00MFW","Patented","Inhibitor","PTPN6"
"207","T31406","D05CDF","Patented","Inhibitor","HCK"
"214","T83011","D06QRW","Patented","Inhibitor","MAOB"
"215","T73215","D0NL9N","Clinical trial","CAR-T-Cell-Therapy(Dual specific)","MS4A1"
"216","T66693","D09ZGK","Clinical trial","CAR-T-Cell-Therapy","TNFRSF17"
"217","T66693","D0N8NT","Clinical trial","CAR-T-Cell-Therapy","TNFRSF17"
"218","T66693","D0LP1L","Clinical trial","CAR-T-Cell-Therapy","TNFRSF17"
"219","T66693","D0PF1A","Clinical trial","CAR-T-Cell-Therapy","TNFRSF17"
"220","T56365","D0NL9N","Clinical trial","CAR-T-Cell-Therapy(Dual specific)","CD19"
"221","T25726","D09RPP","Clinical trial","CAR-T-Cell-Therapy","GPC3"
"222","T25726","D0P1BM","Clinical trial","CAR-T-Cell-Therapy","GPC3"
"223","T47863","D0T8DD","Clinical trial","CAR-T-Cell-Therapy","EPCAM"
"224","T56365","D05FZM","Clinical trial","CAR-T-Cell-Therapy","CD19"
"225","T10877","D0V6WU","Clinical trial","CAR-T-Cell-Therapy","CD38"
"226","T13017","D0T6NG","Clinical trial","CAR-T-Cell-Therapy","SDC1"
"227","T56365","D09VYT","Clinical trial","CAR-T-Cell-Therapy","CD19"
"228","T56365","D0U5NO","Clinical trial","CAR-T-Cell-Therapy","CD19"
"229","T56365","D09IAN","Clinical trial","CAR-T-Cell-Therapy","CD19"
"230","T56365","D0B8BZ","Clinical trial","CAR-T-Cell-Therapy","CD19"
"231","T56365","D04PDI","Clinical trial","CAR-T-Cell-Therapy","CD19"
"232","T56365","D01JCT","Clinical trial","CAR-T-Cell-Therapy","CD19"
"233","T65883","D06CWZ","Clinical trial","CAR-T-Cell-Therapy","CLDN18"
"234","T87108","D04WZL","Clinical trial","CAR-T-Cell-Therapy","MSLN"
"235","T86323","D0V6WW","Clinical trial","CAR-T-Cell-Therapy","NCAM1"
"236","T14912","D0I5DP","Phase 1","Inhibitor","MCL1"
"237","T46360","D09AOO","Phase 1","Agonist","SIGMAR1"
"238","T69912","D05GZD","Phase 1","Inhibitor","PLA2G7"
"239","T70176","D07DTV","Phase 1","Inhibitor","CDK2"
"240","T68334","D0H2UB","Phase 1","Antagonist","FSHR"
"241","T90648","D0F5JZ","Phase 1","Inhibitor","BRAF"
"242","T80975","D0F5JZ","Phase 1","Inhibitor","KDR"
"243","T30081","D05GZD","Phase 1","Inhibitor","TK1"
"244","T83369","D05RBH","Phase 1","Modulator","F9"
"245","T62820","D0TS8E","Phase 1","Modulator","GRM2"
"246","T31479","D05GZD","Phase 1","Modulator","PLA2G1B"
"247","T02719","D0P0ZY","Phase 1","Modulator","GRM3"
"248","T62820","D0P0ZY","Phase 1","Modulator","GRM2"
"249","T54156","D0T4BL","Phase 1","Inhibitor","MMP9"
"250","T03500","D0T4BL","Phase 1","Inhibitor","MMP12"
"251","T68251","D0T4BL","Phase 1","Inhibitor","MMP2"
"252","T47623","D0H2UB","Phase 1","Inhibitor","HPSE"
"253","T40474","D03GTO","Phase 1","CAR-T-Cell-Therapy(Dual specific)","MET"
"254","T99948","D03GTO","Phase 1","CAR-T-Cell-Therapy(Dual specific)","CD274"
"255","T73215","D0E8ZL","Phase 1","CAR-T-Cell-Therapy(Dual specific)","MS4A1"
"256","T37539","D09AXQ","Phase 1","CAR-T-Cell-Therapy(Dual specific)","CD22"
"257","T85529","D0QE4F","Phase 1","CAR-T-Cell-Therapy(Dual specific)","CD28"
"258","T40474","D0D1HI","Phase 1","CAR-T-Cell-Therapy","MET"
"259","T14597","D06XWD","Phase 1","CAR-T-Cell-Therapy","ERBB2"
"260","T66693","D0U2PU","Phase 1","CAR-T-Cell-Therapy","TNFRSF17"
"261","T66693","D0NG3T","Phase 1","CAR-T-Cell-Therapy","TNFRSF17"
"262","T64969","D0B5PV","Phase 1","CAR-T-Cell-Therapy","EGFR"
"263","T56365","D0M5II","Phase 1","CAR-T-Cell-Therapy","CD19"
"264","T05409","D08HKK","Phase 1","CAR-T-Cell-Therapy(Dual specific)","MME"
"265","T56365","D0QE4F","Phase 1","CAR-T-Cell-Therapy(Dual specific)","CD19"
"266","T23953","D02MYI","Phase 1","CAR-T-Cell-Therapy","PSCA"
"267","T16601","D0L6HU","Phase 1","CAR-T-Cell-Therapy","CEACAM5"
"268","T18779","D06URX","Phase 1","CAR-T-Cell-Therapy","MUC1"
"269","T87108","D0L7OJ","Phase 1","CAR-T-Cell-Therapy","MSLN"
"270","T56365","D0MD8S","Phase 1","CAR-T-Cell-Therapy(Dual specific)","CD19"
"271","T87108","D0MD8S","Phase 1","CAR-T-Cell-Therapy(Dual specific)","MSLN"
"272","T64969","D0ZQ6N","Phase 1","CAR-T-Cell-Therapy","EGFR"
"273","T46208","D0YU0L","Phase 1","CAR-T-Cell-Therapy","PMEL"
"274","T28893","D09AOO","Phase 1","Agonist","CHRM1"
"275","T18477","D0V9MT","Phase 1","Inhibitor","HSP90AA1"
"276","T15000","D02RPO","Phase 1",".","CTLA4"
"277","T40474","D01FSX","Phase 1","Inhibitor","MET"
"278","T53764","DN2F9A","Phase 1","Inhibitor","FAP"
"279","T67849","DA02DE","Phase 1","Inhibitor","PIK3CD"
"280","T92124","DBZ87Q","Phase 1",".","TNFRSF4"
"281","T93923","DN2F9A","Phase 1","Inhibitor","TNFRSF9"
"282","T05031","D05CBJ","Phase 1/2","Inhibitor","PIK3CB"
"283","T67849","D05CBJ","Phase 1/2","Inhibitor","PIK3CD"
"284","T80276","D05CBJ","Phase 1/2","Inhibitor","PIK3CA"
"285","T18779","D04WHM","Phase 1/2","Modulator","MUC1"
"286","T78114","D02WLS","Phase 1/2",".","CD55"
"287","T60529","D05TPI","Phase 1/2","Inhibitor","PTGS1"
"288","T86803","D0B4MK","Phase 1/2",".","STAT3"
"289","T64969","D08RJY","Phase 1/2","CAR-T-Cell-Therapy","EGFR"
"290","T88023","D0I5GS","Phase 1/2","CAR-T-Cell-Therapy","TNFRSF8"
"291","T73215","D05PZI","Phase 1/2","CAR-T-Cell-Therapy","MS4A1"
"292","T56365","D03UNT","Phase 1/2","CAR-T-Cell-Therapy","CD19"
"293","T56365","D08BPS","Phase 1/2","CAR-T-Cell-Therapy","CD19"
"294","T87108","D00YXG","Phase 1/2","CAR-T-Cell-Therapy","MSLN"
"295","T18779","D05CSS","Phase 1/2","CAR-T-Cell-Therapy","MUC1"
"296","T56365","D0U0BN","Phase 1/2","CAR-T-Cell-Therapy","CD19"
"297","T56365","D0FF0N","Phase 1/2","CAR-T-Cell-Therapy","CD19"
"298","T63414","D02AIZ","Phase 1/2",".","P2RX7"
"299","T25265","DM5X0L","Phase 1/2","Inhibitor","EZH2"
"300","T65019","DE2Z7V","Phase 1/2a","Inhibitor","MMP14"
"373","T40474","D05BLN","Phase 2/3","Inhibitor","MET"
"374","T07303","D05BLN","Phase 2/3","Inhibitor","FLT4"
"375","T80975","D05BLN","Phase 2/3","Inhibitor","KDR"
"376","T60631","D05BLN","Phase 2/3","Inhibitor","RET"
"377","T30081","D0Z9LP","Phase 2/3","Inhibitor","TK1"
"378","T36557","D03OSG","Phase 2/3","Agonist","PPARD"
"379","T56365","D02CYL","Phase 2/3",".","CD19"
"380","T17502","D0GP1O","Phase 2/3","Inhibitor","RPE65"
"381","T44771","DO5H6K","Phase 2/3","Inhibitor","TGFB2"
"382","T07485","DOST52","Phase 2/3","Inhibitor","RSV F"
"383","T54789","DKH94Z","Phase 2/3",".","RPGR"
"384","T03818","D0JU5X","Phase 3","Antagonist","PPARG"
"385","T20017","DFY58O","Phase 3","Inhibitor","CRTC1"
"386","T40874","DFYL51","Phase 3","Inhibitor","TIGIT"
"387","T80975","D0D7BX","Phase 3","Antagonist","KDR"
"388","T06841","D0A0MS","Phase 3",".","IL23A"
"389","T11451","D0FM5M","Phase 3","Agonist","TLR9"
"390","T23389","D0Y9HW","Phase 3",".","TTR"
"391","T59328","D0CR8H","Phase 3",".","EGFR"
"392","T47101","D07PQJ","Phase 3","Inhibitor","FGFR1"
"393","T57011","D0P9BT","Phase 3",".","ICAM1"
"394","T51407","D00LNW","Phase 3","Inhibitor","XPO1"
"395","T40332","D0FT4R","Phase 3","Inhibitor","ELANE"
"396","T22839","D0FT4R","Phase 3","Inhibitor","CELA1"
"397","T54156","D0WL0Q","Phase 3","Modulator","MMP9"
"398","T67894","D08JIP","Phase 3",".","TLR3"
"399","T60529","D0U3EP","Phase 3","Modulator","PTGS1"
"400","T31989","D0X6BX","Phase 3","Modulator","SPHK2"
"401","T78709","D06FKC","Phase 3","Agonist","HTR1A"
"402","T83813","D06FKC","Phase 3","Antagonist","HTR2C"
"403","T07806","D06FKC","Phase 3","Agonist","HTR1B"
"404","T14731","D0U3EP","Phase 3","Inhibitor","SIRT1"
"405","T16340","D09AYM","Phase 3","Inhibitor","IL1A"
"406","T26203","D0P9BT","Phase 3","Antagonist","ICAM1"
"407","T73215","D07PML","Phase 3",".","MS4A1"
"408","T59631","D08HWV","Phase 3","Inhibitor","PDCD1"
"409","T15000","DLOQ25","Phase 3","Inhibitor","CTLA4"
"410","T21960","D9NL3R","Phase 3","Inhibitor","ANGPT2"
"411","T22976","DI4SM3","Phase 3","Replacement","dnk"
"412","T25005","DUTJ12","Phase 3","Inhibitor","BTK"
"413","T40874","DT1FS0","Phase 3","Inhibitor","TIGIT"
"414","T44141","D9NL3R","Phase 3","Inhibitor","ANGPT1"
"415","T51426","DBND71","Phase 3","Agonist","NR1H4"
"416","T59328","DWK96T","Phase 3","Inhibitor","EGFR"
"417","T60708","D2RTQ0","Phase 3","Inhibitor","C5"
"418","T60708","D1O9XQ","Phase 3","Inhibitor","C5"
"419","T60708","DH3YK4","Phase 3","Inhibitor","C5"
"420","T65883","D4HQ1F","Phase 3",".","CLDN18"
"421","T83797","D9CI7V","Phase 3","Replacement","HGF"
"422","T99948","DLOQ25","Phase 3","Inhibitor","CD274"
"423","T99204","D0G2IC","Preregistration","Inhibitor","PSEN2"
"424","T66665","D0G2IC","Preregistration","Inhibitor","PTGS2"
"425","T60529","D0G2IC","Preregistration","Inhibitor","PTGS1"
"426","T93105","D0G2IC","Preregistration","Inhibitor","PSEN1"
"427","T65864","D0C7AA","Phase 4","Inhibitor","MAPK14"
"428","T15776","D7I9JH","Phase 4","Inhibitor","PDK1"
"429","T48873","D63WMQ","Phase 4","Antagonist","SLC18A2"
"431","T91331","D0U2CV","Phase 4","Inhibitor","FGFR3"
"432","T16538","D0O8GK","Approved","Inhibitor","EGFR"
"433","T59328","D0O8GK","Approved","Inhibitor","EGFR"
"434","T21945","D04WYX","Approved","Modulator","SLC6A2"
"435","T12475","D03QRS","Approved","Modulator","GNRHR"
"436","T40555","D09SGV","Approved","Inhibitor","HCV NS5A"
"437","T56365","D8L5PA","Approved","Inhibitor","CD19"
"438","T59631","DGQU43","Approved","Inhibitor","PDCD1"
"439","T10965","DU47SF","Approved","Inhibitor","SELP"
"440","T18477","D06NSS","Approved","Inhibitor","HSP90AA1"
"441","T30803","D0V4TY","Approved","Inhibitor","GSR"
"442","T66665","D0Q5XX","Approved","Inhibitor","PTGS2"
"443","T60529","D0Q5XX","Approved","Inhibitor","PTGS1"
"444","T05409","D0LJ8C","Approved","Modulator","MME"
"445","T54132","D0X7GL","Approved","Modulator","KCNQ3"
"446","T55959","D0W6KM","Approved","Inhibitor","SLC6A3"
"447","T21945","D0W6KM","Approved","Inhibitor","SLC6A2"
"448","T27812","D0W6KM","Approved","Inhibitor","SLC6A4"
"449","T73215","D0IM6T","Approved","Immunostimulant","MS4A1"
"450","T20761","D5DO9L","Approved","Inhibitor","VEGFA"
"451","T60182","DE5N3K","Approved","Agonist","GCGR"
"452","T43658","DD1GK8","Approved","Inhibitor","HAO1"
"456","T13057","D00MFW","Patented","Inhibitor","PTPN11"
"23890","T78709","D0R5GS","Approved","Agonist","HTR1A"
"24945","T87024","D01QLM","Phase 0","Modulator","APP"
"24946","T71377","D0H8UT","Phase 0","CAR-T-Cell-Therapy","IL3RA"
"24947","T56365","D0P4KP","Phase 0","CAR-T-Cell-Therapy","CD19"
"24948","T56365","D0G5SK","Phase 0","CAR-T-Cell-Therapy","CD19"
"26272","T70977","D06KNK","Patented","Inhibitor","GSK3B"
"26273","T49898","D0YK9D","Patented","Inhibitor","CDK1"
"26274","T70977","D0YK9D","Patented","Inhibitor","GSK3B"
"26275","T58970","D0YK9D","Patented","Inhibitor","MAPK1"
"26276","T37693","D0YZ8I","Patented","Agonist","CNR2"
"26277","T40111","D00RJA","Patented","Inhibitor","IMPDH1"
"26278","T70977","D0A3MV","Patented","Inhibitor","GSK3B"
"26279","T32060","D09BCJ","Patented","Ligand","HTR2A"
"26280","T15776","D0DM2G","Patented","Inhibitor","PDK1"
"26281","T15776","D0I5KI","Patented","Inhibitor","PDK1"
"26282","T76685","D0YN2I","Patented","Antagonist","CNR1"
"26283","T15776","D0C6VX","Patented","Inhibitor","PDK1"
"26284","T76685","D05NUN","Patented","Antagonist","CNR1"
"26285","T76685","D06MIW","Patented","Antagonist","CNR1"
"26286","T76685","D0A2PY","Patented","Antagonist","CNR1"
"26287","T83193","D02JQB","Patented","Antagonist","TRPV1"
"26288","T83193","D07XZR","Patented","Antagonist","TRPV1"
"26289","T83193","D08UEC","Patented","Antagonist","TRPV1"
"26290","T83193","D0CR0H","Patented","Antagonist","TRPV1"
"26291","T83193","D0K0ZI","Patented","Antagonist","TRPV1"
"26292","T83193","D0KM0W","Patented","Antagonist","TRPV1"
"26293","T83193","D0NH2M","Patented","Antagonist","TRPV1"
"26294","T83193","D0O3TG","Patented","Antagonist","TRPV1"
"26295","T83193","D0RC7L","Patented","Antagonist","TRPV1"
"26296","T53524","D0IH3I","Patented","Inhibitor","PDGFRA"
"26297","T15776","D0D5YE","Patented","Inhibitor","PDK1"
"26298","T15776","D06RGW","Patented","Inhibitor","PDK1"
"26299","T15776","D0ZV9P","Patented","Inhibitor","PDK1"
"26300","T76685","D08WTW","Patented","Antagonist","CNR1"
"26301","T13629","D0N4TZ","Patented","Inhibitor","PDCD1-CD274"
"26302","T76685","D0KT1Q","Patented","Antagonist","CNR1"
"26303","T83193","D03VXP","Patented","Antagonist","TRPV1"
"26304","T83193","D0Z5HH","Patented","Antagonist","TRPV1"
"26305","T46526","D0D2QE","Patented","Antagonist","Bact FimH"
"26306","T62841","D0G2EP","Patented","Antagonist","F2RL1"
"26307","T83193","D03SHM","Patented","Antagonist","TRPV1"
"26308","T83193","D05ZWR","Patented","Antagonist","TRPV1"
"26309","T83193","D0V9RM","Patented","Antagonist","TRPV1"
"26310","T83193","D0WJ8R","Patented","Antagonist","TRPV1"
"26311","T13629","D04CCX","Patented","Inhibitor","PDCD1-CD274"
"26312","T76685","D01RIT","Patented","Antagonist","CNR1"
"26313","T76685","D0C4TB","Patented","Antagonist","CNR1"
"26314","T76685","D0FC8P","Patented","Antagonist","CNR1"
"26315","T76685","D0K7XA","Patented","Antagonist","CNR1"
"26316","T15776","D06WAN","Patented","Inhibitor","PDK1"
"26317","T76685","D0LU7K","Patented","Antagonist","CNR1"
"26318","T76685","D0LZ1Z","Patented","Antagonist","CNR1"
"26319","T13629","D04HBL","Patented","Inhibitor","PDCD1-CD274"
"26320","T13629","D0FM9V","Patented","Inhibitor","PDCD1-CD274"
"26321","T76685","D0D7ZU","Patented","Antagonist","CNR1"
"26322","T76685","D0J5NB","Patented","Antagonist","CNR1"
"26323","T76685","D0S5NS","Patented","Antagonist","CNR1"
"26324","T15776","D0CK8H","Patented","Inhibitor","PDK1"
"26325","T76685","D06IPV","Patented","Antagonist","CNR1"
"26326","T76685","D07QLD","Patented","Antagonist","CNR1"
"26327","T76685","D0F0VY","Patented","Antagonist","CNR1"
"26328","T76685","D0H1IX","Patented","Antagonist","CNR1"
"26329","T76685","D0M9FZ","Patented","Antagonist","CNR1"
"26330","T76685","D0X7DZ","Patented","Antagonist","CNR1"
"26331","T76685","D01KJZ","Patented","Antagonist","CNR1"
"26332","T15776","D02USE","Patented","Inhibitor","PDK1"
"26333","T15776","D04BBT","Patented","Inhibitor","PDK1"
"26334","T15776","D04MHV","Patented","Inhibitor","PDK1"
"26335","T15776","D05OTD","Patented","Inhibitor","PDK1"
"26336","T15776","D07HOA","Patented","Inhibitor","PDK1"
"26337","T15776","D07IQE","Patented","Inhibitor","PDK1"
"26338","T15776","D09BNP","Patented","Inhibitor","PDK1"
"26339","T15776","D0AM2D","Patented","Inhibitor","PDK1"
"26340","T15776","D0D0ML","Patented","Inhibitor","PDK1"
"26341","T15776","D0EH9Z","Patented","Inhibitor","PDK1"
"26342","T15776","D0FW3M","Patented","Inhibitor","PDK1"
"26343","T15776","D0HI8X","Patented","Inhibitor","PDK1"
"26344","T15776","D0J9DI","Patented","Inhibitor","PDK1"
"26345","T15776","D0RH6G","Patented","Inhibitor","PDK1"
"26346","T15776","D0W3JC","Patented","Inhibitor","PDK1"
"26347","T15776","D0WX4H","Patented","Inhibitor","PDK1"
"26348","T13629","D04PCT","Patented","Inhibitor","PDCD1-CD274"
"26349","T13629","D0R7YI","Patented","Inhibitor","PDCD1-CD274"
"26350","T76685","D03HHD","Patented","Antagonist","CNR1"
"26351","T15776","D0CQ1M","Patented","Inhibitor","PDK1"
"26352","T15776","D0RP4U","Patented","Inhibitor","PDK1"
"26353","T76685","D0CF8Y","Patented","Antagonist","CNR1"
"26354","T13629","D0O8FI","Patented","Inhibitor","PDCD1-CD274"
"26355","T62841","D0K9QH","Patented","Antagonist","F2RL1"
"26356","T83011","D0DW5P","Patented",".","MAOB"
"26357","T83011","D05RJG","Patented",".","MAOB"
"26358","T83875","D05RJG","Patented",".","MAOA"
"26359","T84703","D00MGO","Patented","Inhibitor","NTRK2"
"26360","T84703","D0M8VS","Patented","Inhibitor","NTRK2"
"26361","T51076","D0M8VS","Patented","Inhibitor","NTRK3"
"26362","T51076","D00MGO","Patented","Inhibitor","NTRK3"
"26363","T76685","D0FA2L","Patented",".","CNR1"
"26364","T07173","D02ZQN","Patented","Inhibitor","NTRK1"
"26365","T16691","D09BCJ","Patented","Ligand","HTR6"
"26366","T46526","D0SE7V","Patented","Antagonist","Bact FimH"
"26367","T07173","D0LK8E","Patented","Inhibitor","NTRK1"
"26368","T07173","D08BIH","Patented","Inhibitor","NTRK1"
"26369","T76685","D0WJ3F","Patented",".","CNR1"
"26370","T62841","D0LT5Y","Patented","Antagonist","F2RL1"
"26371","T46526","D0L1PO","Patented","Antagonist","Bact FimH"
"26372","T07173","D07CPL","Patented","Inhibitor","NTRK1"
"26373","T15776","D07ZKE","Patented","Inhibitor","PDK1"
"26374","T15776","D0R0SJ","Patented","Inhibitor","PDK1"
"26375","T07173","D06STX","Patented","Inhibitor","NTRK1"
"26376","T07173","D00MGO","Patented","Inhibitor","NTRK1"
"26377","T15776","D0DC2P","Patented","Inhibitor","PDK1"
"26378","T46526","D0MO0Z","Patented","Antagonist","Bact FimH"
"26379","T15776","D0RE3R","Patented","Inhibitor","PDK1"
"26380","T07173","D04RXX","Patented","Inhibitor","NTRK1"
"26381","T15776","D04EDM","Patented","Inhibitor","PDK1"
"26382","T79062","D09BCJ","Patented","Ligand","HTR7"
"26383","T15776","D04BBA","Patented","Inhibitor","PDK1"
"26384","T15776","D04QRX","Patented","Inhibitor","PDK1"
"26385","T15776","D06LCB","Patented","Inhibitor","PDK1"
"26386","T15776","D06PTW","Patented","Inhibitor","PDK1"
"26387","T15776","D06WXJ","Patented","Inhibitor","PDK1"
"26388","T15776","D07MSB","Patented","Inhibitor","PDK1"
"26389","T15776","D07ZMG","Patented","Inhibitor","PDK1"
"26390","T15776","D08YPQ","Patented","Inhibitor","PDK1"
"26391","T15776","D0B2GM","Patented","Inhibitor","PDK1"
"26392","T15776","D0D8PF","Patented","Inhibitor","PDK1"
"26393","T15776","D0DO6K","Patented","Inhibitor","PDK1"
"26394","T15776","D0FJ4A","Patented","Inhibitor","PDK1"
"26395","T15776","D0GE6F","Patented","Inhibitor","PDK1"
"26396","T15776","D0GY8G","Patented","Inhibitor","PDK1"
"26397","T15776","D0H6AF","Patented","Inhibitor","PDK1"
"26398","T15776","D0HP8K","Patented","Inhibitor","PDK1"
"26399","T15776","D0KN7T","Patented","Inhibitor","PDK1"
"26400","T15776","D0P6PT","Patented","Inhibitor","PDK1"
"26401","T15776","D0PD2I","Patented","Inhibitor","PDK1"
"26402","T15776","D0Q6RC","Patented","Inhibitor","PDK1"
"26403","T15776","D0QV1E","Patented","Inhibitor","PDK1"
"26404","T15776","D0R3VG","Patented","Inhibitor","PDK1"
"26405","T15776","D0U5HB","Patented","Inhibitor","PDK1"
"26406","T15776","D0U7LW","Patented","Inhibitor","PDK1"
"26407","T15776","D0Z5HL","Patented","Inhibitor","PDK1"
"26408","T15776","D0ZG0K","Patented","Inhibitor","PDK1"
"26409","T32060","D0EO8F","Patented","Antagonist","HTR2A"
"26410","T97035","D06LIQ","Patented","Inhibitor","TYR"
"26411","T15776","D07XBA","Patented","Inhibitor","PDK1"
"26412","T15776","D0B8OB","Patented","Inhibitor","PDK1"
"26413","T15776","D06LSZ","Patented","Inhibitor","PDK1"
"26414","T46526","D0UB8U","Patented","Antagonist","Bact FimH"
"26415","T13629","D0J4UO","Patented","Inhibitor","PDCD1-CD274"
"26416","T99948","D0OK1S","Patented","Inhibitor","CD274"
"26417","T15776","D09FQP","Patented","Inhibitor","PDK1"
"26418","T46526","D0E3DS","Patented","Antagonist","Bact FimH"
"26419","T13629","D0XV7Y","Patented","Inhibitor","PDCD1-CD274"
"26420","T16691","D0F4NB","Patented","Ligand","HTR6"
"26421","T15776","D00SVK","Patented","Inhibitor","PDK1"
