,from_module,to_module,distance,drug_size,diz_size,sim_mean,sim_sd,p_val,drugnames
53,D0QM1R,READ,-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378,Pyrazole derivative 77
54,D0R0FE,READ,-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136,Verapamil
55,D0RX0M,READ,-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378,PMID25435285-Compound-39
56,D0S5SK,READ,-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378,NA
57,D0T3DG,READ,-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378,BCI-632
58,D0U3ED,READ,-5660389.888,4,5,34630.695433129,3036867.11783536,0.0303761011940333,E-2007
59,D0U4VT,READ,-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136,Trimethadione
60,D0U7GP,READ,-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136,NA
61,D0V0BC,READ,-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378,NA
62,D0W8XT,READ,-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136,Mibefradil
63,D0WP5S,READ,-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378,N-substituted pyrazole derivative 3
64,D0XQ4T,READ,-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378,NA
65,D0Y5DN,READ,-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378,NA
66,D0YZ7D,READ,-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378,PMID25435285-Compound-50
